predictor,label,role,question,has_forecast_summary,has_gradient_mpc_summary,has_cem_mpc_summary,control_relevant_mean_rank,tair_full_mae,tair_final_mae,tair_full_r2,tair_final_r2,rhair_full_mae,rhair_final_mae,rhair_full_r2,rhair_final_r2,co2air_full_mae,co2air_final_mae,co2air_full_r2,co2air_final_r2,gradient_objective,gradient_tair_mae,gradient_rhair_mae,gradient_co2_mae,gradient_action_tv,cem_objective,cem_co2_mae,recorded_co2_mae,delta_co2_full_mae_vs_previous,delta_co2_final_mae_vs_previous
itransformer_residual,Residual,generic residual backbone baseline,Generic residual backbone,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
itransformer_co2_late_residual,Late residual,CO2-aware backbone,Does a CO2-aware late adapter help?,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
itransformer_co2_frozen_expert,Frozen expert,naive frozen-expert fusion baseline,Does a frozen standalone expert help if blended directly?,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
itransformer_co2_late_frozen_expert,Late frozen expert,late-trust control baseline,Is horizon-dependent late trust useful?,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
itransformer_co2_teacher_distill,Teacher distill,distillation ablation,Is using the expert only as a teacher enough?,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
itransformer_co2_recoupled_expert,Recoupled expert,cross-target recoupling baseline,Does recoupling after expert correction improve control objective?,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
itransformer_co2_protected_expert,Protected expert,agreement-protection ablation,Is agreement protection useful?,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
itransformer_co2_protected_terminal,Protected terminal,terminal-loss ablation,Is terminal loss alone enough?,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
itransformer_co2_horizon_mixture,Horizon mixture,proposed offline PHF representative,Does protected horizon fusion with terminal pullback improve offline CO2?,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
itransformer_co2_frozen_backbone_horizon_mixture,Frozen-backbone mix,control-safety diagnostic,Does freezing the backbone improve MPC safety?,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
itransformer_co2_control_aware_fusion,Control-aware fusion,late-frozen anchor + PHF terminal candidate,Can we keep late-frozen control behavior while recovering PHF terminal gains?,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
